Level	Warrior	Rogue	Sorcerer	Monk	Bard	Barbarian	ExpRatio
MaxLevel	50	50	50	50	50	50	1024
0	0	0	0	0	0	0	1024
1	2000	2000	2000	2000	2000	2000	1024
2	4620	4620	4620	4620	4620	4620	1024
3	8040	8040	8040	8040	8040	8040	1024
4	12489	12489	12489	12489	12489	12489	1024
5	18258	18258	18258	18258	18258	18258	1024
6	25712	25712	25712	25712	25712	25712	1024
7	35309	35309	35309	35309	35309	35309	1024
8	47622	47622	47622	47622	47622	47622	1024
9	63364	63364	63364	63364	63364	63364	1024
10	83419	83419	83419	83419	83419	83419	1024
11	108879	108879	108879	108879	108879	108879	1024
12	141086	141086	141086	141086	141086	141086	1024
13	181683	181683	181683	181683	181683	181683	1024
14	231075	231075	231075	231075	231075	231075	1024
15	313656	313656	313656	313656	313656	313656	1024
16	424067	424067	424067	424067	424067	424067	1024
17	571190	571190	571190	571190	571190	571190	1024
18	766569	766569	766569	766569	766569	766569	1024
19	1025154	1025154	1025154	1025154	1025154	1025154	1024
20	1366227	1366227	1366227	1366227	1366227	1366227	1024
21	1814568	1814568	1814568	1814568	1814568	1814568	1024
22	2401895	2401895	2401895	2401895	2401895	2401895	1024
23	3168651	3168651	3168651	3168651	3168651	3168651	1024
24	4166200	4166200	4166200	4166200	4166200	4166200	1024
25	5459523	5459523	5459523	5459523	5459523	5459523	1024
26	7130496	7130496	7130496	7130496	7130496	7130496	1024
27	9281874	9281874	9281874	9281874	9281874	9281874	1024
28	12042092	12042092	12042092	12042092	12042092	12042092	1024
29	15571031	15571031	15571031	15571031	15571031	15571031	1024
30	20066900	20066900	20066900	20066900	20066900	20066900	1024
31	25774405	25774405	25774405	25774405	25774405	25774405	1024
32	32994399	32994399	32994399	32994399	32994399	32994399	1024
33	42095202	42095202	42095202	42095202	42095202	42095202	1024
34	53525811	53525811	53525811	53525811	53525811	53525811	1024
35	67831218	67831218	67831218	67831218	67831218	67831218	1024
36	85670061	85670061	85670061	85670061	85670061	85670061	1024
37	107834823	107834823	107834823	107834823	107834823	107834823	1024
38	135274799	135274799	135274799	135274799	135274799	135274799	1024
39	169122009	169122009	169122009	169122009	169122009	169122009	1024
40	210720231	210720231	210720231	210720231	210720231	210720231	1024
41	261657253	261657253	261657253	261657253	261657253	261657253	1024
42	323800420	323800420	323800420	323800420	323800420	323800420	1024
43	399335440	399335440	399335440	399335440	399335440	399335440	1024
44	490808349	490808349	490808349	490808349	490808349	490808349	1024
45	601170414	601170414	601170414	601170414	601170414	601170414	1024
46	733825617	733825617	733825617	733825617	733825617	733825617	1024
47	892680222	892680222	892680222	892680222	892680222	892680222	1024
48	1082908612	1082908612	1082908612	1082908612	1082908612	1082908612	1024
49	1310707109	1310707109	1310707109	1310707109	1310707109	1310707109	1024
50	1583495809	1583495809	1583495809	1583495809	1583495809	1583495809	1024
