name	power	power.value1	power.value2	minLevel	itemTypes	alignment	doubleChance	useful	minVal	maxVal	multVal
Tin	TOHIT_CURSE	6	10	3	Weapon,Bow,Misc	Any	true	false	0	0	-3
Brass	TOHIT_CURSE	1	5	1	Weapon,Bow,Misc	Any	true	false	0	0	-2
Bronze	TOHIT	1	5	1	Weapon,Bow,Misc	Any	true	true	100	500	2
Iron	TOHIT	6	10	4	Weapon,Bow,Misc	Any	true	true	600	1000	3
Steel	TOHIT	11	15	6	Weapon,Bow,Misc	Any	true	true	1100	1500	5
Silver	TOHIT	16	20	9	Weapon,Bow,Misc	Good	true	true	1600	2000	7
Gold	TOHIT	21	30	12	Weapon,Bow,Misc	Good	true	true	2100	3000	9
Platinum	TOHIT	31	40	16	Weapon,Bow	Good	true	true	3100	4000	11
Mithril	TOHIT	41	60	20	Weapon,Bow	Good	true	true	4100	6000	13
Meteoric	TOHIT	61	80	23	Weapon,Bow	Any	true	true	6100	10000	15
Weird	TOHIT	81	100	35	Weapon,Bow	Any	true	true	10100	14000	17
Strange	TOHIT	101	150	60	Weapon,Bow	Any	true	true	14100	20000	20
Useless	DAMP_CURSE	100	100	5	Weapon,Staff,Bow	Any	true	false	0	0	-8
Bent	DAMP_CURSE	50	75	3	Weapon,Staff,Bow	Any	true	false	0	0	-4
Weak	DAMP_CURSE	25	45	1	Weapon,Staff,Bow	Any	true	false	0	0	-3
Jagged	DAMP	20	35	4	Weapon,Staff,Bow	Any	true	true	250	450	3
Deadly	DAMP	36	50	6	Weapon,Staff,Bow	Any	true	true	500	700	4
Heavy	DAMP	51	65	9	Weapon,Staff,Bow	Any	true	true	750	950	5
Vicious	DAMP	66	80	12	Weapon,Staff,Bow	Evil	true	true	1000	1450	8
Brutal	DAMP	81	95	16	Weapon,Staff,Bow	Any	true	true	1500	1950	10
Massive	DAMP	96	110	20	Weapon,Staff,Bow	Any	true	true	2000	2450	13
Savage	DAMP	111	125	23	Weapon,Bow	Any	true	true	2500	3000	15
Ruthless	DAMP	126	150	35	Weapon,Bow	Any	true	true	10100	15000	17
Merciless	DAMP	151	175	60	Weapon,Bow	Any	true	true	15000	20000	20
Clumsy	TOHIT_DAMP_CURSE	50	75	5	Weapon,Staff,Bow	Any	true	false	0	0	-7
Dull	TOHIT_DAMP_CURSE	25	45	1	Weapon,Staff,Bow	Any	true	false	0	0	-5
Sharp	TOHIT_DAMP	20	35	1	Weapon,Staff,Bow	Any	true	false	350	950	5
Fine	TOHIT_DAMP	36	50	6	Weapon,Staff,Bow	Any	true	true	1100	1700	7
Warrior's	TOHIT_DAMP	51	65	10	Weapon,Staff,Bow	Any	true	true	1850	2450	13
Soldier's	TOHIT_DAMP	66	80	15	Weapon,Staff	Any	true	true	2600	3950	17
Lord's	TOHIT_DAMP	81	95	19	Weapon,Staff	Any	true	true	4100	5950	21
Knight's	TOHIT_DAMP	96	110	23	Weapon,Staff	Any	true	true	6100	8450	26
Master's	TOHIT_DAMP	111	125	28	Weapon,Staff	Any	true	true	8600	13000	30
Champion's	TOHIT_DAMP	126	150	40	Weapon,Staff	Any	true	true	15200	24000	33
King's	TOHIT_DAMP	151	175	28	Weapon,Staff	Any	true	true	24100	35000	38
Vulnerable	ACP_CURSE	51	100	3	Armor,Shield	Any	true	false	0	0	-3
Rusted	ACP_CURSE	25	50	1	Armor,Shield	Any	true	false	0	0	-2
Fine	ACP	20	30	1	Armor,Shield	Any	true	true	20	100	2
Strong	ACP	31	40	3	Armor,Shield	Any	true	true	120	200	3
Grand	ACP	41	55	6	Armor,Shield	Any	true	true	220	300	5
Valiant	ACP	56	70	10	Armor,Shield	Any	true	true	320	400	7
Glorious	ACP	71	90	14	Armor,Shield	Good	true	true	420	600	9
Blessed	ACP	91	110	19	Armor,Shield	Good	true	true	620	800	11
Saintly	ACP	111	130	24	Armor,Shield	Good	true	true	820	1200	13
Awesome	ACP	131	150	28	Armor,Shield	Good	true	true	1220	2000	15
Holy	ACP	151	170	35	Armor,Shield	Good	true	true	5200	6000	17
Godly	ACP	171	200	60	Armor,Shield	Good	true	true	6200	7000	20
Red	FIRERES	10	20	4	Armor,Shield,Weapon,Staff,Bow,Misc	Any	false	true	500	1500	2
