id	width	width2	name	numFrames	flags	frameDelay	frameLength
Arrow	96	16	arrows	1	NotAnimated	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Fireball	96	16	fireba	16		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Guardian	96	16	guard	3		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	15,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lightning	96	16	lghning	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
FireWall	128	32	firewal	2		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MagmaBallExplosion	128	32	magblos	1		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TownPortal	96	16	portal	2		0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
FlashBottom	160	48	bluexfr	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
FlashTop	160	48	bluexbk	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
ManaShield	96	16	manashld	1	NotAnimated	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BloodHit	96	16		4		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
BoneHit	128	32		3		2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MetalHit	96	16		3		2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
FireArrow	96	16	farrow	16		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DoomSerpents	96	16	doom	9	MonsterOwned	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Golem	0	0		1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spurt	128	32		2		2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ApocalypseBoom	96	16	newexp	1		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
