type	name	trn	level	maxHp	ai	intelligence	minDamage	maxDamage	resistance	monsterPack	customToHit	customArmorClass	talkMessage
MT_NGOATMC	Gharbad the Weak	bsdb	4	120	Gharbad	3	8	16	IMMUNE_LIGHTNING	None	0	0	TEXT_GARBUD1
MT_SKING	Skeleton King	genrl	0	240	SkeletonKing	3	6	16	IMMUNE_MAGIC,RESIST_FIRE,RESIST_LIGHTNING	Independent	0	0	
MT_COUNSLR	Zhar the Mad	general	8	360	Zhar	3	16	40	IMMUNE_MAGIC,RESIST_FIRE,RESIST_LIGHTNING	None	0	0	TEXT_ZHAR1
MT_BFALLSP	Snotspill	bng	4	220	Snotspill	3	10	18	RESIST_LIGHTNING	None	0	0	TEXT_BANNER10
MT_ADVOCATE	Arch-Bishop Lazarus	general	0	600	Lazarus	3	30	50	IMMUNE_MAGIC,RESIST_FIRE,RESIST_LIGHTNING	None	0	0	TEXT_VILE13
MT_HLSPWN	Red Vex	redv	0	400	LazarusSuccubus	3	30	50	IMMUNE_MAGIC,RESIST_FIRE	None	0	0	TEXT_VILE13
MT_HLSPWN	Black Jade	blkjd	0	400	LazarusSuccubus	3	30	50	IMMUNE_MAGIC,RESIST_LIGHTNING	None	0	0	TEXT_VILE13
MT_RBLACK	Lachdanan	bhka	14	500	Lachdanan	3	0	0		None	0	0	TEXT_VEIL9
MT_BTBLACK	Warlord of Blood	general	13	850	Warlord	3	35	50	IMMUNE_MAGIC,IMMUNE_FIRE,IMMUNE_LIGHTNING	None	0	0	TEXT_WARLRD9
MT_CLEAVER	The Butcher	genrl	0	220	Butcher	3	6	12	RESIST_FIRE,RESIST_LIGHTNING	None	0	0	
MT_HORKDMN	Hork Demon	genrl	19	300	HorkDemon	3	20	35	RESIST_LIGHTNING	None	0	0	
MT_DEFILER	The Defiler	genrl	20	480	SkeletonMelee	3	30	40	RESIST_MAGIC,RESIST_FIRE,IMMUNE_LIGHTNING	None	0	0	
MT_NAKRUL	Na-Krul	genrl	0	1332	SkeletonMelee	3	40	50	IMMUNE_MAGIC,IMMUNE_FIRE,IMMUNE_LIGHTNING	Leashed	0	0	
MT_TSKELAX	Bonehead Keenaxe	bhka	2	91	SkeletonMelee	2	4	10	IMMUNE_MAGIC	Leashed	100	0	
MT_RFALLSD	Bladeskin the Slasher	bsts	2	51	Fallen	0	6	18	RESIST_FIRE	Leashed	0	45	
MT_NZOMBIE	Soulpus	general	2	133	Zombie	0	4	8	RESIST_FIRE,RESIST_LIGHTNING	None	0	0	
MT_RFALLSP	Pukerat the Unclean	ptu	2	77	Fallen	3	1	5	RESIST_FIRE	None	0	0	
MT_WSKELAX	Boneripper	br	2	54	Bat	0	6	15	IMMUNE_MAGIC,IMMUNE_FIRE	Leashed	0	0	
MT_NZOMBIE	Rotfeast the Hungry	eth	2	85	SkeletonMelee	3	4	12	IMMUNE_MAGIC	Leashed	0	0	
MT_DFALLSD	Gutshank the Quick	gtq	3	66	Bat	2	6	16	RESIST_FIRE	Leashed	0	0	
MT_TSKELSD	Brokenhead Bangshield	bhbs	3	108	SkeletonMelee	3	12	20	IMMUNE_MAGIC,RESIST_LIGHTNING	Leashed	0	0	
MT_YFALLSP	Bongo	bng	3	178	Fallen	3	9	21		Leashed	0	0	
MT_BZOMBIE	Rotcarnage	rcrn	3	102	Zombie	3	9	24	IMMUNE_MAGIC,RESIST_LIGHTNING	Leashed	0	45	
MT_NSCAV	Shadowbite	shbt	2	60	SkeletonMelee	3	3	20	IMMUNE_FIRE	Leashed	0	0	
MT_WSKELBW	Deadeye	de	2	49	GoatRanged	0	6	9	IMMUNE_MAGIC,RESIST_FIRE	None	0	0	
MT_RSKELAX	Madeye the Dead	mtd	4	75	Bat	0	9	21	IMMUNE_MAGIC,IMMUNE_FIRE	Leashed	0	30	
MT_BSCAV	El Chupacabras	general	3	120	GoatMelee	0	10	18	RESIST_FIRE	Leashed	0	0	
MT_TSKELBW	Skullfire	skfr	3	125	GoatRanged	1	6	10	IMMUNE_FIRE	None	0	0	
MT_SNEAK	Warpskull	tspo	3	117	Sneak	2	6	18	RESIST_FIRE,RESIST_LIGHTNING	Leashed	0	0	
MT_GZOMBIE	Goretongue	pmr	3	156	SkeletonMelee	1	15	30	IMMUNE_MAGIC	None	0	0	
MT_WSCAV	Pulsecrawler	bhka	4	150	Scavenger	0	16	20	IMMUNE_FIRE,RESIST_LIGHTNING	Leashed	0	45	
MT_BLINK	Moonbender	general	4	135	Bat	0	9	27	IMMUNE_FIRE	Leashed	0	0	
MT_BLINK	Wrathraven	general	5	135	Bat	2	9	22	IMMUNE_FIRE	Leashed	0	0	
MT_YSCAV	Spineeater	general	4	180	Scavenger	1	18	25	IMMUNE_LIGHTNING	Leashed	0	0	
MT_RSKELBW	Blackash the Burning	bashtb	4	120	GoatRanged	0	6	16	IMMUNE_MAGIC,IMMUNE_FIRE	Leashed	0	0	
MT_BFALLSD	Shadowcrow	general	5	270	Sneak	2	12	25		Leashed	0	0	
MT_LRDSAYTR	Blightstone the Weak	bhka	4	360	SkeletonMelee	0	4	12	IMMUNE_MAGIC,RESIST_LIGHTNING	Leashed	70	0	
MT_FAT	Bilefroth the Pit Master	bftp	6	210	Bat	1	16	23	IMMUNE_MAGIC,IMMUNE_FIRE,RESIST_LIGHTNING	Leashed	0	0	
MT_NGOATBW	Bloodskin Darkbow	bsdb	5	207	GoatRanged	0	3	16	RESIST_FIRE,RESIST_LIGHTNING	Leashed	0	55	
MT_GLOOM	Foulwing	db	5	246	Rhino	3	12	28	RESIST_FIRE	Leashed	0	0	
MT_XSKELSD	Shadowdrinker	shdr	5	300	Sneak	1	18	26	IMMUNE_MAGIC,RESIST_FIRE,RESIST_LIGHTNING	None	0	45	
MT_UNSEEN	Hazeshifter	bhka	5	285	Sneak	3	18	30	IMMUNE_LIGHTNING	Leashed	0	0	
MT_NACID	Deathspit	bfds	6	303	AcidUnique	0	12	32	RESIST_FIRE,RESIST_LIGHTNING	Leashed	0	0	
MT_RGOATMC	Bloodgutter	bgbl	6	315	Bat	1	24	34	IMMUNE_FIRE	Leashed	0	0	
