id	flags	path
Walk	Misc	sfx\misc\walk1.wav
ShootBow	Misc	sfx\misc\bfire.wav
CastSpell	Misc	sfx\misc\tmag.wav
Swing	Misc	sfx\misc\swing.wav
Swing2	Misc	sfx\misc\swing2.wav
WarriorDeath	Misc	sfx\misc\dead.wav
ShootBow2	Misc,Hellfire	sfx\misc\sting1.wav
ShootFireballBow	Misc,Hellfire	sfx\misc\fballbow.wav
QuestDone	Stream	sfx\misc\questdon.wav
BarrelExpload	Misc	sfx\items\barlfire.wav
BarrelBreak	Misc	sfx\items\barrel.wav
PodExpload	Misc,Hellfire	sfx\items\podpop8.wav
PodPop	Misc,Hellfire	sfx\items\podpop5.wav
UrnExpload	Misc,Hellfire	sfx\items\urnpop3.wav
UrnBreak	Misc,Hellfire	sfx\items\urnpop2.wav
ChestOpen	Misc	sfx\items\chest.wav
DoorClose	Misc	sfx\items\doorclos.wav
DoorOpen	Misc	sfx\items\dooropen.wav
ItemAnvilFlip	Misc	sfx\items\flipanvl.wav
ItemAxeFlip	Misc	sfx\items\flipaxe.wav
ItemBloodStoneFlip	Misc	sfx\items\flipblst.wav
ItemBodyPartFlip	Misc	sfx\items\flipbody.wav
ItemBookFlip	Misc	sfx\items\flipbook.wav
ItemBowFlip	Misc	sfx\items\flipbow.wav
ItemCapFlip	Misc	sfx\items\flipcap.wav
ItemArmorFlip	Misc	sfx\items\flipharm.wav
ItemLeatherFlip	Misc	sfx\items\fliplarm.wav
ItemMushroomFlip	Misc	sfx\items\flipmush.wav
ItemPotionFlip	Misc	sfx\items\flippot.wav
ItemRingFlip	Misc	sfx\items\flipring.wav
ItemRockFlip	Misc	sfx\items\fliprock.wav
ItemScrollFlip	Misc	sfx\items\flipscrl.wav
ItemShieldFlip	Misc	sfx\items\flipshld.wav
ItemSignFlip	Misc	sfx\items\flipsign.wav
ItemStaffFlip	Misc	sfx\items\flipstaf.wav
ItemSwordFlip	Misc	sfx\items\flipswor.wav
ItemGold	Misc	sfx\items\gold.wav
ItemAnvil	Misc	sfx\items\invanvl.wav
ItemAxe	Misc	sfx\items\invaxe.wav
ItemBloodStone	Misc	sfx\items\invblst.wav
ItemBodyPart	Misc	sfx\items\invbody.wav
ItemBook	Misc	sfx\items\invbook.wav
ItemBow	Misc	sfx\items\invbow.wav
ItemCap	Misc	sfx\items\invcap.wav
GrabItem	Misc	sfx\items\invgrab.wav
ItemArmor	Misc	sfx\items\invharm.wav
ItemLeather	Misc	sfx\items\invlarm.wav
ItemMushroom	Misc	sfx\items\invmush.wav
ItemPotion	Misc	sfx\items\invpot.wav
ItemRing	Misc	sfx\items\invring.wav
ItemRock	Misc	sfx\items\invrock.wav
ItemScroll	Misc	sfx\items\invscrol.wav
ItemShield	Misc	sfx\items\invshiel.wav
ItemSign	Misc	sfx\items\invsign.wav
ItemStaff	Misc	sfx\items\invstaf.wav
ItemSword	Misc	sfx\items\invsword.wav
OperateLever	Misc	sfx\items\lever.wav
OperateShrine	Misc	sfx\items\magic.wav
OperateShrine1	Misc	sfx\items\magic1.wav
ReadBook	Misc	sfx\items\readbook.wav
Sarcophagus	Misc	sfx\items\sarc.wav
MenuMove	Ui	sfx\items\titlemov.wav
MenuSelect	Ui	sfx\items\titlslct.wav
TriggerTrap	Misc	sfx\items\trap.wav
CastFire	Misc	sfx\misc\cast2.wav
CastLightning	Misc	sfx\misc\cast4.wav
CastSkill	Misc	sfx\misc\cast6.wav
SpellEnd	Misc	sfx\misc\cast7.wav
CastHealing	Misc	sfx\misc\cast8.wav
SpellRepair	Misc	sfx\misc\repair.wav
SpellAcid	Misc	sfx\misc\acids1.wav
SpellAcid1	Misc	sfx\misc\acids2.wav
SpellApocalypse	Misc	sfx\misc\apoc.wav
SpellBloodStar	Misc	sfx\misc\blodstar.wav
SpellBloodStarHit	Misc	sfx\misc\blsimpt.wav
SpellBoneSpirit	Misc	sfx\misc\bonesp.wav
SpellBoneSpiritHit	Misc	sfx\misc\bsimpct.wav
OperateCaldron	Misc	sfx\misc\caldron.wav
SpellChargedBolt	Misc	sfx\misc\cbolt.wav
SpellDoomSerpents	Misc	sfx\misc\dserp.wav
SpellLightningHit	Misc	sfx\misc\elecimp1.wav
SpellElemental	Misc	sfx\misc\elementl.wav
SpellEtherealize	Misc	sfx\misc\ethereal.wav
SpellFirebolt	Misc	sfx\misc\fbolt1.wav
SpellFireHit	Misc	sfx\misc\firimp2.wav
SpellFlameWave	Misc	sfx\misc\flamwave.wav
OperateFountain	Misc	sfx\misc\fountain.wav
SpellGolem	Misc	sfx\misc\golum.wav
OperateGoatShrine	Misc	sfx\misc\gshrine.wav
SpellGuardian	Misc	sfx\misc\guard.wav
SpellHolyBolt	Misc	sfx\misc\holybolt.wav
SpellInfravision	Misc	sfx\misc\infravis.wav
SpellInvisibility	Misc	sfx\misc\invisibl.wav
SpellLightning	Misc	sfx\misc\lning1.wav
SpellManaShield	Misc	sfx\misc\mshield.wav
BigExplosion	Misc,Hellfire	sfx\misc\nestxpld.wav
SpellNova	Misc	sfx\misc\nova.wav
SpellPuddle	Misc	sfx\misc\puddle.wav
SpellResurrect	Misc	sfx\misc\resur.wav
SpellStoneCurse	Misc	sfx\misc\scurimp.wav
SpellPortal	Misc	sfx\misc\sentinel.wav
SpellInferno	Misc	sfx\misc\spoutstr.wav
SpellTrapDisarm	Misc	sfx\misc\trapdis.wav
SpellTeleport	Misc	sfx\misc\teleport.wav
SpellFireWall	Misc	sfx\misc\wallloop.wav
SpellLightningWall	Misc,Hellfire	sfx\misc\lmag.wav
Gillian1	Stream	sfx\towners\bmaid01.wav
Gillian2	Stream	sfx\towners\bmaid02.wav
Gillian3	Stream	sfx\towners\bmaid03.wav
Gillian4	Stream	sfx\towners\bmaid04.wav
Gillian5	Stream	sfx\towners\bmaid05.wav
Gillian6	Stream	sfx\towners\bmaid06.wav
Gillian7	Stream	sfx\towners\bmaid07.wav
Gillian8	Stream	sfx\towners\bmaid08.wav
Gillian9	Stream	sfx\towners\bmaid09.wav
Gillian10	Stream	sfx\towners\bmaid10.wav
Gillian11	Stream	sfx\towners\bmaid11.wav
Gillian12	Stream	sfx\towners\bmaid12.wav
Gillian13	Stream	sfx\towners\bmaid13.wav
Gillian14	Stream	sfx\towners\bmaid14.wav
Gillian15	Stream	sfx\towners\bmaid15.wav
Gillian16	Stream	sfx\towners\bmaid16.wav
Gillian17	Stream	sfx\towners\bmaid17.wav
Gillian18	Stream	sfx\towners\bmaid18.wav
Gillian19	Stream	sfx\towners\bmaid19.wav
Gillian20	Stream	sfx\towners\bmaid20.wav
Gillian21	Stream	sfx\towners\bmaid21.wav
Gillian22	Stream	sfx\towners\bmaid22.wav
Gillian23	Stream	sfx\towners\bmaid23.wav
Gillian24	Stream	sfx\towners\bmaid24.wav
Gillian25	Stream	sfx\towners\bmaid25.wav
Gillian26	Stream	sfx\towners\bmaid26.wav
Gillian27	Stream	sfx\towners\bmaid27.wav
Gillian28	Stream	sfx\towners\bmaid28.wav
Gillian29	Stream	sfx\towners\bmaid29.wav
Gillian30	Stream	sfx\towners\bmaid30.wav
Gillian31	Stream	sfx\towners\bmaid31.wav
Gillian32	Stream	sfx\towners\bmaid32.wav
Gillian33	Stream	sfx\towners\bmaid33.wav
Gillian34	Stream	sfx\towners\bmaid34.wav
Gillian35	Stream	sfx\towners\bmaid35.wav
Gillian36	Stream	sfx\towners\bmaid36.wav
Gillian37	Stream	sfx\towners\bmaid37.wav
